n,Marca temporal,1) ¿Cuál es su nivel más alto de estudios?,2) ¿Cuál es su edad?,3) Indique su sexo,4) Estado civil,5) ¿Actualmente se encuentra trabajando?,"6) ¿Cuántas horas a la semana trabaja? (si no trabaja, escriba un cero)",7) ¿Tienes hijos(as) o personas a su cuidado actualmente?,8) Ingresos económicos de su hogar aproximado (en pesos) en total.,9) Tipo de establecimiento secundario del que egresó,10) Tipo de formación en su educación secundaria,11) Nivel educativo alcanzado por su madre/tutor (seleccione la última cursada y aprobada),12) Nivel educativo alcanzado por su padre/tutor (seleccione la última cursada y aprobada),13) Usted está diagnosticado de acuerdo a las siguientes categorías:,emp_1,emp_2,emp_3,emp_4,emp_5,emp_6,emp_7,emp_8,emp_9,emp_10,control_1,sq_1,sq_2,sq_3,sq_4,sq_5,sq_6,sq_7,sq_8,sq_9,sq_10,control_2,ale_1,ale_2,ale_3,ale_4,ale_5,ale_6,ale_7,ale_8,ale_9,ale_10,ale_11,ale_12,ale_13,ale_14,ale_15,ale_16,ale_17,ale_18,ale_19,ale_20,ie_1,ie_2,ie_3,ie_4,ie_5,ie_6,ie_7,ie_8,ie_9,ie_10,ie_11,ie_12,ie_13,ie_14,ie_15,ie_16,ie_17,ie_18,ie_19,ie_20,ie_21,ie_22,ie_23,ie_24,control_3,iri_1,iri_2,iri_3,iri_4,iri_5,iri_6,iri_7,EQ_total,SQ_total,ale1_iden_sent,ale2_des_sent,ale3_pen_ext,int_emo_1_perc_emo,int_emo_2_compr_emo,int_emo_3_reg_emo,toma_pers
142,2021/12/05 6:20:09 p. m. GMT,Educacion Universitaria Incompleta,20,Mujer,Soltero,No,0,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Universitaria completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,0,2,2,2,1,1,2,1,1,2,0,1,2,2,2,1,1,2,2,2,3,1,1,2,1,4,1,2,1,1,4,5,2,1,3,1,5,5,5,1,5,5,5,5,2,4,4,5,5,5,5,5,5,4,5,5,3,4,3,4,5,5,5,5,4,5,5,5,4,5,5,5,15,15,13,17,7,35,39,34,34
143,2021/12/05 11:43:43 p. m. GMT,Educacion Universitaria Incompleta,19,no binarie,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Científico humanista,Enseñanza media,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,2,2,1,2,2,2,0,1,2,0,0,1,0,0,0,2,2,0,2,4,5,4,5,1,5,3,1,5,2,5,5,5,4,5,4,5,5,5,1,5,5,5,5,5,5,4,5,1,2,3,4,5,1,4,5,4,4,1,4,5,5,4,5,4,5,5,5,4,5,4,5,16,7,30,25,9,39,25,32,33
144,2021/12/06 5:17:08 a. m. GMT,Educación Media Completa,21,Mujer,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,Algún tipo de Trastorno del Desarrollado no especificado arriba.,2,2,1,2,0,2,0,1,2,1,1,2,0,2,0,0,2,0,1,0,1,2,5,3,5,2,2,4,2,4,4,1,2,3,5,4,2,4,3,5,5,5,5,5,4,5,5,5,5,5,2,2,3,4,4,3,4,3,2,2,1,1,5,2,5,2,4,5,3,5,3,5,5,5,13,8,29,13,9,39,25,20,31
145,2021/12/07 4:44:02 p. m. GMT,Educacion Universitaria Incompleta,20,Mujer,Soltero,Sí,10,No,900.000 a 1.190.000,Particular pagado,Científico humanista,Técnica educación superior completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,0,2,0,2,0,0,1,0,2,0,1,2,0,0,0,0,0,2,1,2,1,2,5,5,5,3,1,5,5,5,5,2,5,3,5,3,3,3,4,4,4,2,4,3,2,2,2,3,3,2,2,1,1,2,2,1,3,2,4,4,4,4,2,4,4,4,4,3,3,4,2,4,4,4,7,8,33,20,11,21,14,30,24
146,2021/12/07 4:54:38 p. m. GMT,Educación Media Completa,20,Hombre,Soltero,Sí,45,No,300.000 a 490.000,Municipal,Científico humanista,Técnica educación superior completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,0,2,2,2,1,2,1,2,0,1,2,2,2,2,0,0,2,2,2,2,2,4,4,3,2,2,2,4,1,5,1,1,5,2,1,1,1,5,5,5,1,5,1,4,3,4,4,5,5,4,4,2,4,5,1,1,4,5,5,1,5,5,4,5,5,4,5,5,5,4,5,2,5,13,16,21,17,5,31,25,35,31
147,2021/12/07 4:58:38 p. m. GMT,Educacion Universitaria Incompleta,22,Hombre,Soltero,Sí,40,No,0 a 290.000,Particular subvencionado,Científico humanista,Universitaria completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,2,2,2,2,1,0,2,1,1,2,2,0,1,2,1,1,1,2,1,2,3,4,1,3,1,1,2,1,2,1,4,4,3,1,3,2,4,4,5,1,5,5,5,5,2,4,4,5,4,4,4,5,5,3,5,5,4,1,1,4,4,5,5,5,4,5,5,5,4,5,5,5,16,13,13,19,6,35,35,29,34
148,2021/12/10 5:26:06 a. m. GMT,Educacion Universitaria Incompleta,20,Mujer,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza básica completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,2,1,1,2,1,2,2,1,1,0,1,2,0,0,0,2,1,0,2,0,2,2,5,4,2,3,1,2,2,1,3,1,4,4,4,4,3,1,5,4,5,1,5,5,5,5,5,5,5,5,4,4,4,5,4,3,4,5,2,2,2,3,5,5,5,2,4,2,3,4,4,3,2,4,13,9,22,20,6,40,33,26,22
149,2021/12/11 3:16:54 a. m. GMT,Educación Media Incompleta,17,Mujer,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,0,0,0,0,1,0,1,2,0,1,2,1,1,2,0,0,0,1,2,1,2,4,4,5,4,2,4,4,2,5,2,4,2,4,3,1,2,5,5,5,1,3,1,2,4,4,4,3,3,1,2,1,2,4,2,4,2,3,4,2,5,5,4,3,5,4,1,4,5,4,4,4,4,4,10,29,19,7,24,18,31,26
150,2021/12/11 1:23:14 p. m. GMT,Educación Media Incompleta,17,Mujer,Soltero,No,0,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,2,1,0,1,0,2,0,0,2,0,1,2,0,1,0,0,2,0,2,2,2,2,4,5,5,4,1,5,5,1,5,1,2,5,5,5,1,2,5,5,5,4,5,2,5,3,4,5,5,5,1,1,1,1,2,1,3,4,2,4,1,2,5,2,5,1,4,5,4,5,4,5,5,5,8,11,34,21,4,34,14,22,33
151,2021/12/11 5:01:43 p. m. GMT,"Educación de Postgrado (Magister, Master o Doctorado) Incompleta",34,Hombre,Divorciado,Sí,44,No,Sobre los valores anteriores,Municipal,Científico humanista,Técnica educación superior completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,2,1,1,0,0,1,2,1,1,2,1,1,1,0,1,1,2,0,2,4,2,3,2,1,2,2,4,3,2,2,3,4,1,4,4,2,4,4,1,3,3,4,4,4,4,4,3,3,4,4,4,4,3,4,4,5,4,3,4,5,5,4,4,4,4,4,3,2,4,3,4,11,10,19,11,11,29,30,34,24
152,2021/12/14 6:37:22 p. m. GMT,Educación Técnico Profesional Incompleta,22,Hombre,Soltero,No,0,No,500.000 a 690.000,Municipal,Científico humanista,Técnica educación superior completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,0,1,1,2,2,2,2,1,1,2,0,2,2,0,0,1,0,2,2,2,3,4,2,1,1,1,3,5,3,1,1,2,5,2,2,3,4,5,5,5,5,4,4,5,4,5,5,5,4,4,4,3,4,2,4,3,3,3,1,1,1,5,5,5,4,4,5,5,4,5,5,5,14,11,19,12,9,37,28,24,33
153,2021/12/14 6:52:02 p. m. GMT,Educacion Universitaria Incompleta,20,Mujer,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza media,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,1,1,1,0,0,1,0,1,1,2,0,0,0,1,0,0,0,0,2,5,4,4,3,3,4,4,2,4,3,4,5,5,4,2,3,4,4,3,2,4,4,4,3,4,4,4,4,2,2,3,4,4,3,4,2,2,3,1,2,3,2,4,3,4,3,4,4,4,3,3,3,6,4,30,20,10,31,24,20,24
154,2021/12/01 8:01:51 p. m. GMT,Educación Universitaria Completa,47,Mujer,Casado,Sí,42,Sí,900.000 a 1.190.000,Municipal,Científico humanista,Enseñanza media,Enseñanza básica incompleta,Algún tipo de Trastorno del Desarrollado no especificado arriba.,0,0,1,0,1,1,2,2,2,1,1,1,0,0,0,2,2,1,1,1,2,2,3,1,2,2,3,3,4,3,2,1,4,5,2,3,4,1,4,4,4,4,5,4,3,5,5,5,5,5,2,2,3,4,3,2,4,4,2,3,3,2,5,3,5,4,4,3,3,5,3,4,4,4,10,10,19,16,11,37,24,27,26
155,2021/12/01 8:21:49 p. m. GMT,Educacion Universitaria Incompleta,19,Mujer,Soltero,Sí,7,No,700.000 a 890.000,Municipal,Técnico profesional,Universitaria completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,1,2,1,0,2,2,0,1,1,1,2,2,2,1,1,1,2,2,2,4,5,3,5,3,2,2,2,4,1,5,4,4,2,1,1,5,5,5,1,5,3,3,4,4,4,4,4,3,2,3,4,4,1,4,4,2,2,3,2,5,4,2,3,4,4,4,5,4,4,2,5,13,15,21,24,7,31,25,23,28
156,2021/12/01 8:37:56 p. m. GMT,Educación Media Completa,57,Mujer,Divorciado,No,0,Sí,0 a 290.000,Municipal,Científico humanista,Enseñanza media,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,2,0,1,2,0,0,0,2,1,1,1,1,2,0,1,2,1,2,2,0,2,2,5,5,4,1,1,5,5,4,5,3,3,5,5,3,5,5,5,5,4,2,5,5,5,5,4,5,5,4,3,4,2,2,3,2,2,5,5,5,1,5,4,5,5,4,4,5,5,5,2,5,3,3,9,13,32,19,13,38,23,34,28
157,2021/12/01 8:58:53 p. m. GMT,Educación Media Completa,53,Mujer,Divorciado,Sí,44,Sí,300.000 a 490.000,Municipal,Científico humanista,Técnica educación superior completa,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,2,2,0,0,0,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,2,4,4,3,2,3,4,4,4,4,2,5,4,4,2,2,5,5,5,5,3,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,14,4,25,20,11,37,40,40,34
158,2021/12/01 9:19:53 p. m. GMT,Educación Universitaria Completa,58,Hombre,Divorciado,Sí,20,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza básica completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,1,0,0,1,0,1,0,0,0,0,1,0,2,0,0,2,0,0,0,2,1,2,4,1,1,4,2,1,2,4,2,2,4,4,2,2,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,2,2,2,4,4,4,4,4,2,4,4,4,4,4,4,3,7,14,17,12,32,30,24,26
159,2021/12/01 10:52:55 p. m. GMT,Education Técnico Profesional Completa,35,Mujer,Soltero,Sí,24,No,500.000 a 690.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,2,1,1,1,1,1,2,1,1,1,2,0,0,0,0,1,0,0,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,4,3,4,5,3,3,3,3,4,2,2,3,2,5,5,5,4,4,5,5,5,5,5,3,4,4,5,5,4,4,3,4,5,3,4,4,3,12,5,7,8,6,22,38,35,26
160,2021/12/01 10:52:57 p. m. GMT,Education Técnico Profesional Completa,51,Hombre,Divorciado,Sí,48,No,300.000 a 490.000,Municipal,Técnico profesional,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,0,1,0,2,2,1,0,2,0,1,1,0,0,1,0,0,2,0,0,2,0,2,3,4,1,3,2,2,2,4,2,3,3,4,2,2,5,5,5,2,4,3,2,2,1,3,2,1,2,2,4,2,4,4,4,4,4,4,5,5,4,5,5,5,4,4,4,2,4,3,4,4,3,3,9,5,14,19,14,15,30,37,23
161,2021/12/02 12:53:08 a. m. GMT,Educacion Universitaria Incompleta,24,Hombre,Soltero,Sí,45,No,300.000 a 490.000,Particular pagado,Científico humanista,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,2,1,1,2,2,1,0,2,0,2,1,2,0,2,0,1,0,1,2,1,2,2,3,4,1,3,1,1,1,4,2,3,3,3,1,1,4,3,3,4,3,5,4,3,3,3,5,3,3,3,3,3,4,3,4,3,3,3,5,5,5,5,5,5,5,1,4,5,5,5,1,3,4,5,13,11,10,16,12,27,26,36,28
162,2021/12/02 1:12:28 a. m. GMT,Educación Media Completa,22,Hombre,Soltero,No,0,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,1,2,1,1,0,1,1,1,1,1,1,1,0,2,1,0,1,1,1,2,3,4,4,4,2,4,4,2,4,2,4,2,5,2,2,5,5,4,4,2,4,2,2,2,2,2,1,2,5,4,5,2,4,5,4,4,5,5,5,5,5,3,5,4,4,4,4,4,2,4,2,4,11,9,26,19,8,17,33,37,24
163,2021/12/02 1:23:00 a. m. GMT,Educación Universitaria Completa,27,Mujer,Conviviente,Sí,39,No,500.000 a 690.000,Particular subvencionado,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,0,2,0,2,2,0,2,0,2,1,1,0,0,0,1,0,2,2,2,2,3,3,3,4,2,5,4,1,2,1,3,5,3,4,2,1,5,5,5,1,5,5,5,5,3,5,5,5,2,3,2,4,4,2,4,3,4,4,1,2,5,5,4,2,4,5,1,5,5,3,4,4,12,9,24,20,6,38,24,27,27
164,2021/12/02 1:27:22 a. m. GMT,Educacion Universitaria Incompleta,19,Mujer,Soltero,No,0,No,Sobre los valores anteriores,Municipal,Científico humanista,Técnica educación superior completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,2,2,2,2,2,2,2,0,1,2,0,0,0,2,2,2,0,0,2,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,5,3,4,5,5,5,5,5,5,5,18,10,7,6,6,36,40,34,35
165,2021/12/02 1:34:44 a. m. GMT,Educación Universitaria Completa,25,Mujer,Soltero,Sí,45,No,500.000 a 690.000,Particular subvencionado,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,2,2,1,1,2,0,0,1,1,2,1,1,0,1,0,1,0,0,2,5,4,4,3,2,5,3,2,2,1,4,3,4,3,2,2,5,4,4,2,4,5,3,4,4,4,4,3,3,3,3,4,4,3,4,4,2,2,2,4,4,4,5,2,4,4,4,4,2,4,4,3,12,7,26,19,7,31,28,25,25
166,2021/12/02 1:47:51 a. m. GMT,Educación Media Completa,19,Hombre,Soltero,Sí,11,No,500.000 a 690.000,Municipal,Técnico profesional,Universitaria completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,2,0,0,2,0,2,0,0,0,1,1,1,1,2,0,0,0,0,1,1,2,2,5,3,2,2,4,5,4,5,3,1,1,3,4,5,3,3,3,5,4,4,5,3,5,3,5,5,5,5,3,3,4,4,4,4,4,4,5,5,4,5,3,4,5,4,4,3,2,4,1,4,4,2,7,8,28,12,13,36,30,35,20
167,2021/12/02 2:17:06 a. m. GMT,Educación Universitaria Completa,22,Hombre,Soltero,Sí,45,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza media,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,1,2,1,2,2,1,1,1,1,1,0,0,0,2,1,1,0,0,3,5,5,3,4,1,4,3,1,4,3,2,5,4,1,2,1,3,2,5,1,5,5,5,4,4,4,5,3,1,1,2,3,4,3,5,5,2,3,2,2,4,4,5,4,4,4,5,2,4,4,5,5,14,6,24,19,7,35,24,26,29
168,2021/12/02 2:24:18 a. m. GMT,Educacion Universitaria Incompleta,20,Hombre,Soltero,Sí,45,No,900.000 a 1.190.000,Municipal,Científico humanista,Enseñanza media,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,0,2,0,2,1,2,2,1,2,2,1,2,1,1,1,0,2,1,0,0,1,2,4,5,3,5,1,3,2,3,2,1,4,2,2,2,2,3,5,4,5,2,4,4,4,5,3,4,3,5,2,2,4,4,4,1,1,3,4,5,5,4,3,4,4,3,4,2,5,4,4,4,3,4,14,9,18,21,7,32,21,32,26
169,2021/12/02 3:58:54 a. m. GMT,Educacion Universitaria Incompleta,24,Mujer,Soltero,No,0,No,700.000 a 890.000,Particular subvencionado,Científico humanista,Universitaria completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,2,1,1,2,1,2,2,1,0,0,0,0,0,0,0,0,2,0,2,3,2,4,2,3,4,2,2,1,1,1,4,1,2,5,5,4,5,5,2,3,4,2,5,2,2,2,3,4,4,4,4,4,2,3,4,3,1,2,2,4,4,5,2,5,5,5,4,2,5,4,5,16,2,17,13,11,23,29,23,30
170,2021/12/02 3:34:17 p. m. GMT,Educacion Universitaria Incompleta,20,Mujer,Soltero,No,0,No,0 a 290.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,2,2,2,2,2,1,2,0,1,2,0,2,0,1,1,0,1,0,1,2,4,3,3,2,2,2,1,5,2,1,5,2,2,1,4,1,5,5,5,1,4,5,5,3,3,5,5,5,5,5,5,5,5,4,4,5,4,4,4,3,5,3,5,5,4,2,4,4,3,4,4,5,16,8,15,17,12,35,38,33,26
171,2021/12/11 11:24:29 p. m. GMT,Educacion Universitaria Incompleta,21,Hombre,Soltero,Sí,35,Sí,0 a 290.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,1,1,1,2,2,2,2,0,1,1,0,2,0,0,0,1,2,0,1,2,2,3,4,2,3,2,3,3,2,1,2,1,1,1,1,2,1,4,4,1,5,5,5,5,3,4,5,4,5,4,4,5,5,4,4,5,4,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,14,7,15,9,8,36,36,30,28
172,2021/12/12 3:15:42 a. m. GMT,Educacion Universitaria Incompleta,19,Mujer,Soltero,No,0,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza media,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,2,2,1,2,1,2,2,2,0,1,1,0,0,0,0,0,0,1,2,2,2,5,5,3,3,1,5,4,5,4,1,1,1,4,4,4,1,2,5,5,3,5,5,2,3,5,5,5,2,1,1,1,5,2,1,2,4,5,5,2,3,5,2,5,1,4,5,5,5,5,5,5,5,15,6,29,12,11,32,17,28,35
173,2021/12/12 3:28:40 a. m. GMT,Educacion Universitaria Incompleta,21,Hombre,Soltero,No,0,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Universitaria completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,1,2,0,1,0,1,2,2,2,0,1,2,0,0,0,0,1,0,1,0,2,2,5,4,3,4,1,4,3,4,2,2,3,2,3,3,2,3,4,5,4,2,5,5,5,5,4,5,5,5,4,4,3,2,3,2,2,2,2,2,2,2,2,5,4,3,4,2,4,3,2,4,3,4,11,6,23,17,9,39,22,22,22
174,2021/12/12 4:00:09 a. m. GMT,Educación Media Completa,18,Mujer,Soltero,No,0,No,500.000 a 690.000,Municipal,Científico humanista,Técnica educación superior completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,0,1,2,1,2,1,2,1,1,2,2,1,0,1,2,2,0,2,2,2,5,5,5,4,2,5,5,2,5,1,3,5,5,5,2,2,5,5,5,2,5,5,5,5,5,5,5,2,1,2,2,4,2,1,2,2,4,2,2,3,2,4,5,4,4,4,4,4,4,5,2,5,14,14,35,22,7,37,16,26,28
175,2021/12/12 4:22:58 a. m. GMT,Educación Universitaria Completa,23,Hombre,Soltero,No,0,No,Sobre los valores anteriores,Particular subvencionado,Científico humanista,Universitaria completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,2,1,1,1,2,2,1,1,2,2,2,0,0,2,2,2,2,1,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,3,3,1,5,5,1,4,2,4,3,1,3,3,3,4,4,4,5,5,4,4,4,4,5,3,3,4,1,4,2,4,5,5,5,1,2,2,4,13,15,9,6,7,23,34,26,24
176,2021/12/12 4:48:28 a. m. GMT,Educacion Universitaria Incompleta,19,Hombre,Soltero,Sí,32,No,Sobre los valores anteriores,Particular subvencionado,Científico humanista,Técnica educación superior completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,2,4,2,3,2,1,3,3,4,2,2,2,2,1,3,2,2,1,4,4,3,5,5,5,5,4,4,4,3,3,4,4,5,4,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4,3,4,4,4,9,6,19,9,9,35,32,30,26
177,2021/12/12 5:14:17 a. m. GMT,Educacion Universitaria Incompleta,21,Mujer,Soltero,Sí,6,No,900.000 a 1.190.000,Municipal,Científico humanista,Enseñanza media,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,0,1,0,1,1,0,1,1,1,0,1,0,2,2,2,1,2,2,2,1,0,2,5,5,5,3,1,5,5,5,5,3,5,3,5,5,5,3,5,3,5,2,3,4,1,1,5,2,2,2,2,2,2,2,3,2,3,3,1,3,2,1,2,1,3,3,4,2,3,3,5,3,3,4,6,14,35,21,14,20,19,16,23
178,2021/12/12 5:56:10 a. m. GMT,Education Técnico Profesional Completa,22,Hombre,Soltero,No,0,No,0 a 290.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,2,0,1,2,2,2,0,1,1,2,0,0,2,0,0,0,2,1,3,3,2,3,3,2,2,3,3,3,2,2,3,2,4,2,2,2,3,2,3,3,4,4,3,4,4,4,2,4,2,4,4,3,3,4,4,2,4,2,4,3,3,3,3,4,3,4,2,3,3,2,4,11,8,20,12,9,28,28,24,21
179,2021/12/12 5:59:48 a. m. GMT,Educación Media Completa,22,Hombre,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,1,2,1,2,1,2,2,2,1,1,1,0,0,0,0,1,1,1,0,0,2,4,3,3,2,2,3,4,2,3,1,3,2,3,4,1,3,2,4,4,4,5,4,4,4,4,5,5,4,3,4,3,3,4,3,3,4,3,3,3,3,4,4,5,2,4,5,5,4,5,4,4,4,14,4,24,12,6,35,27,27,31
180,2021/12/12 11:54:07 a. m. GMT,Educación Media Completa,22,Mujer,Soltero,No,0,No,Sobre los valores anteriores,Particular subvencionado,Científico humanista,Universitaria completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,2,1,1,2,2,0,0,1,1,2,0,0,2,0,0,2,1,2,2,5,5,3,4,3,4,4,2,5,1,2,5,5,3,1,1,1,5,5,3,4,5,5,5,4,5,5,5,2,3,3,5,5,3,4,4,5,4,3,5,5,5,4,5,4,5,2,4,4,4,4,5,12,10,29,17,7,38,29,36,28
181,2021/12/12 12:23:32 p. m. GMT,Educacion Universitaria Incompleta,21,Mujer,Soltero,No,0,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Universitaria completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,0,1,1,1,0,1,2,0,1,0,1,1,0,0,0,0,1,0,1,0,0,2,4,4,2,2,1,3,4,2,2,1,2,1,5,1,4,2,2,5,4,1,5,5,5,4,4,4,4,5,3,5,4,5,5,3,5,5,2,2,1,2,4,4,5,2,4,4,2,4,2,3,1,3,7,3,21,11,8,36,35,22,19
182,2021/12/12 1:55:16 p. m. GMT,Educación Media Completa,19,Mujer,Soltero,No,0,No,700.000 a 890.000,Particular subvencionado,Científico humanista,Enseñanza básica completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,0,1,1,1,1,2,0,1,1,1,0,0,0,0,0,0,1,0,0,1,2,4,4,2,3,2,5,5,4,5,2,2,3,4,4,4,3,2,4,3,2,3,2,3,4,4,2,3,3,2,2,3,3,3,3,3,5,4,3,4,3,3,3,4,4,4,2,3,4,2,3,3,3,9,2,29,14,12,24,24,28,20
183,2021/12/12 4:38:34 p. m. GMT,Educacion Universitaria Incompleta,19,Mujer,Soltero,No,0,No,0 a 290.000,Municipal,Científico humanista,Enseñanza básica completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,0,0,2,2,2,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,2,5,5,5,3,2,1,5,3,5,1,2,1,3,4,2,2,4,5,5,2,3,4,4,3,4,4,4,4,2,3,3,4,4,2,1,3,1,3,2,3,4,4,4,3,4,3,3,3,2,3,3,3,9,2,28,15,8,30,22,24,20
184,2021/12/12 10:07:13 p. m. GMT,Educación Media Completa,19,Mujer,Conviviente,Sí,45,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,Algún tipo de Trastorno del Desarrollo no especificado arriba.,0,2,0,1,2,2,2,2,2,2,1,2,1,2,2,0,2,2,2,2,2,2,5,5,5,3,1,5,5,4,5,1,5,4,5,5,5,3,5,5,5,4,3,2,3,1,4,1,3,1,4,4,4,5,5,2,5,4,2,2,2,2,2,3,5,3,4,2,3,5,4,4,4,5,15,17,35,22,11,18,33,21,27
185,2021/12/01 6:00:10 p. m. GMT,Educación Media Completa,21,Mujer,Casado,No,0,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,0,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,2,0,2,2,2,1,1,3,2,2,1,1,1,1,1,1,1,1,1,3,5,5,1,5,5,5,5,4,3,4,5,5,5,5,4,4,4,5,5,5,5,3,3,5,5,5,5,4,4,3,4,5,5,4,3,17,3,10,8,6,36,37,36,28
186,2021/12/02 3:17:19 a. m. GMT,Educacion Universitaria Incompleta,25,Mujer,Soltero,No,0,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,0,0,0,2,1,1,2,0,2,1,1,0,0,0,0,0,2,0,0,0,0,2,1,2,1,2,3,1,3,3,3,1,1,1,3,1,2,1,3,5,5,1,5,5,5,5,5,3,5,5,5,5,5,5,5,5,4,5,1,5,4,5,5,5,5,5,4,4,5,5,3,4,4,4,9,2,13,9,9,38,39,35,29
187,2021/12/02 10:25:07 p. m. GMT,Educación Media Completa,20,Hombre,Soltero,Sí,45,No,500.000 a 690.000,Municipal,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,2,0,1,1,0,0,1,1,2,1,1,1,0,1,2,2,1,2,2,0,2,4,3,4,4,3,2,4,3,3,3,4,2,5,4,3,2,5,2,3,3,4,3,5,3,4,3,5,2,4,3,4,2,4,3,2,1,5,4,3,4,2,4,3,2,4,2,2,3,4,4,2,3,8,12,26,18,12,29,23,27,20
