n,Marca temporal,1) ¿Cuál es su nivel más alto de estudios?,2) ¿Cuál es su edad?,3) Indique su sexo,4) Estado civil,5) ¿Actualmente se encuentra trabajando?,"6) ¿Cuántas horas a la semana trabaja? (si no trabaja, escriba un cero)",7) ¿Tienes hijos(as) o personas a su cuidado actualmente?,8) Ingresos económicos de su hogar aproximado (en pesos) en total.,9) Tipo de establecimiento secundario del que egresó,10) Tipo de formación en su educación secundaria,11) Nivel educativo alcanzado por su madre/tutor (seleccione la última cursada y aprobada),12) Nivel educativo alcanzado por su padre/tutor (seleccione la última cursada y aprobada),13) Usted está diagnosticado de acuerdo a las siguientes categorías:,emp_1,emp_2,emp_3,emp_4,emp_5,emp_6,emp_7,emp_8,emp_9,emp_10,control_1,sq_1,sq_2,sq_3,sq_4,sq_5,sq_6,sq_7,sq_8,sq_9,sq_10,control_2,ale_1,ale_2,ale_3,ale_4,ale_5,ale_6,ale_7,ale_8,ale_9,ale_10,ale_11,ale_12,ale_13,ale_14,ale_15,ale_16,ale_17,ale_18,ale_19,ale_20,ie_1,ie_2,ie_3,ie_4,ie_5,ie_6,ie_7,ie_8,ie_9,ie_10,ie_11,ie_12,ie_13,ie_14,ie_15,ie_16,ie_17,ie_18,ie_19,ie_20,ie_21,ie_22,ie_23,ie_24,control_3,iri_1,iri_2,iri_3,iri_4,iri_5,iri_6,iri_7
160,2021/12/01 10:52:57 p. m. GMT,Education Técnico Profesional Completa,51,Hombre,Divorciado,Sí,48,No,300.000 a 490.000,Municipal,Técnico profesional,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,0,1,0,2,2,1,0,2,0,1,1,0,0,1,0,0,2,0,0,2,0,2,3,4,1,3,2,2,2,4,2,3,3,4,2,2,5,5,5,2,4,3,2,2,1,3,2,1,2,2,4,2,4,4,4,4,4,4,5,5,4,5,5,5,4,4,4,2,4,3,4,4,3,3
161,2021/12/02 12:53:08 a. m. GMT,Educacion Universitaria Incompleta,24,Hombre,Soltero,Sí,45,No,300.000 a 490.000,Particular pagado,Científico humanista,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,2,1,1,2,2,1,0,2,0,2,1,2,0,2,0,1,0,1,2,1,2,2,3,4,1,3,1,1,1,4,2,3,3,3,1,1,4,3,3,4,3,5,4,3,3,3,5,3,3,3,3,3,4,3,4,3,3,3,5,5,5,5,5,5,5,1,4,5,5,5,1,3,4,5
162,2021/12/02 1:12:28 a. m. GMT,Educación Media Completa,22,Hombre,Soltero,No,0,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,1,2,1,1,0,1,1,1,1,1,1,1,0,2,1,0,1,1,1,2,3,4,4,4,2,4,4,2,4,2,4,2,5,2,2,5,5,4,4,2,4,2,2,2,2,2,1,2,5,4,5,2,4,5,4,4,5,5,5,5,5,3,5,4,4,4,4,4,2,4,2,4
163,2021/12/02 1:23:00 a. m. GMT,Educación Universitaria Completa,27,Mujer,Conviviente,Sí,39,No,500.000 a 690.000,Particular subvencionado,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,0,2,0,2,2,0,2,0,2,1,1,0,0,0,1,0,2,2,2,2,3,3,3,4,2,5,4,1,2,1,3,5,3,4,2,1,5,5,5,1,5,5,5,5,3,5,5,5,2,3,2,4,4,2,4,3,4,4,1,2,5,5,4,2,4,5,1,5,5,3,4,4
164,2021/12/02 1:27:22 a. m. GMT,Educacion Universitaria Incompleta,19,Mujer,Soltero,No,0,No,Sobre los valores anteriores,Municipal,Científico humanista,Técnica educación superior completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,2,2,2,2,2,2,2,0,1,2,0,0,0,2,2,2,0,0,2,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,5,3,4,5,5,5,5,5,5,5
165,2021/12/02 1:34:44 a. m. GMT,Educación Universitaria Completa,25,Mujer,Soltero,Sí,45,No,500.000 a 690.000,Particular subvencionado,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,2,2,1,1,2,0,0,1,1,2,1,1,0,1,0,1,0,0,2,5,4,4,3,2,5,3,2,2,1,4,3,4,3,2,2,5,4,4,2,4,5,3,4,4,4,4,3,3,3,3,4,4,3,4,4,2,2,2,4,4,4,5,2,4,4,4,4,2,4,4,3
166,2021/12/02 1:47:51 a. m. GMT,Educación Media Completa,19,Hombre,Soltero,Sí,11,No,500.000 a 690.000,Municipal,Técnico profesional,Universitaria completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,2,0,0,2,0,2,0,0,0,1,1,1,1,2,0,0,0,0,1,1,2,2,5,3,2,2,4,5,4,5,3,1,1,3,4,5,3,3,3,5,4,4,5,3,5,3,5,5,5,5,3,3,4,4,4,4,4,4,5,5,4,5,3,4,5,4,4,3,2,4,1,4,4,2
167,2021/12/02 2:17:06 a. m. GMT,Educación Universitaria Completa,22,Hombre,Soltero,Sí,45,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza media,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,1,2,1,2,2,1,1,1,1,1,0,0,0,2,1,1,0,0,3,5,5,3,4,1,4,3,1,4,3,2,5,4,1,2,1,3,2,5,1,5,5,5,4,4,4,5,3,1,1,2,3,4,3,5,5,2,3,2,2,4,4,5,4,4,4,5,2,4,4,5,5
168,2021/12/02 2:24:18 a. m. GMT,Educacion Universitaria Incompleta,20,Hombre,Soltero,Sí,45,No,900.000 a 1.190.000,Municipal,Científico humanista,Enseñanza media,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,0,2,0,2,1,2,2,1,2,2,1,2,1,1,1,0,2,1,0,0,1,2,4,5,3,5,1,3,2,3,2,1,4,2,2,2,2,3,5,4,5,2,4,4,4,5,3,4,3,5,2,2,4,4,4,1,1,3,4,5,5,4,3,4,4,3,4,2,5,4,4,4,3,4
169,2021/12/02 3:58:54 a. m. GMT,Educacion Universitaria Incompleta,24,Mujer,Soltero,No,0,No,700.000 a 890.000,Particular subvencionado,Científico humanista,Universitaria completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,2,1,1,2,1,2,2,1,0,0,0,0,0,0,0,0,2,0,2,3,2,4,2,3,4,2,2,1,1,1,4,1,2,5,5,4,5,5,2,3,4,2,5,2,2,2,3,4,4,4,4,4,2,3,4,3,1,2,2,4,4,5,2,5,5,5,4,2,5,4,5
170,2021/12/02 3:34:17 p. m. GMT,Educacion Universitaria Incompleta,20,Mujer,Soltero,No,0,No,0 a 290.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,2,2,2,2,2,1,2,0,1,2,0,2,0,1,1,0,1,0,1,2,4,3,3,2,2,2,1,5,2,1,5,2,2,1,4,1,5,5,5,1,4,5,5,3,3,5,5,5,5,5,5,5,5,4,4,5,4,4,4,3,5,3,5,5,4,2,4,4,3,4,4,5
171,2021/12/11 11:24:29 p. m. GMT,Educacion Universitaria Incompleta,21,Hombre,Soltero,Sí,35,Sí,0 a 290.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,1,1,1,2,2,2,2,0,1,1,0,2,0,0,0,1,2,0,1,2,2,3,4,2,3,2,3,3,2,1,2,1,1,1,1,2,1,4,4,1,5,5,5,5,3,4,5,4,5,4,4,5,5,4,4,5,4,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4
172,2021/12/12 3:15:42 a. m. GMT,Educacion Universitaria Incompleta,19,Mujer,Soltero,No,0,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza media,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,2,2,1,2,1,2,2,2,0,1,1,0,0,0,0,0,0,1,2,2,2,5,5,3,3,1,5,4,5,4,1,1,1,4,4,4,1,2,5,5,3,5,5,2,3,5,5,5,2,1,1,1,5,2,1,2,4,5,5,2,3,5,2,5,1,4,5,5,5,5,5,5,5
173,2021/12/12 3:28:40 a. m. GMT,Educacion Universitaria Incompleta,21,Hombre,Soltero,No,0,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Universitaria completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,1,2,0,1,0,1,2,2,2,0,1,2,0,0,0,0,1,0,1,0,2,2,5,4,3,4,1,4,3,4,2,2,3,2,3,3,2,3,4,5,4,2,5,5,5,5,4,5,5,5,4,4,3,2,3,2,2,2,2,2,2,2,2,5,4,3,4,2,4,3,2,4,3,4
174,2021/12/12 4:00:09 a. m. GMT,Educación Media Completa,18,Mujer,Soltero,No,0,No,500.000 a 690.000,Municipal,Científico humanista,Técnica educación superior completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,0,1,2,1,2,1,2,1,1,2,2,1,0,1,2,2,0,2,2,2,5,5,5,4,2,5,5,2,5,1,3,5,5,5,2,2,5,5,5,2,5,5,5,5,5,5,5,2,1,2,2,4,2,1,2,2,4,2,2,3,2,4,5,4,4,4,4,4,4,5,2,5
175,2021/12/12 4:22:58 a. m. GMT,Educación Universitaria Completa,23,Hombre,Soltero,No,0,No,Sobre los valores anteriores,Particular subvencionado,Científico humanista,Universitaria completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,2,1,1,1,2,2,1,1,2,2,2,0,0,2,2,2,2,1,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,3,3,1,5,5,1,4,2,4,3,1,3,3,3,4,4,4,5,5,4,4,4,4,5,3,3,4,1,4,2,4,5,5,5,1,2,2,4
176,2021/12/12 4:48:28 a. m. GMT,Educacion Universitaria Incompleta,19,Hombre,Soltero,Sí,32,No,Sobre los valores anteriores,Particular subvencionado,Científico humanista,Técnica educación superior completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,2,4,2,3,2,1,3,3,4,2,2,2,2,1,3,2,2,1,4,4,3,5,5,5,5,4,4,4,3,3,4,4,5,4,4,4,4,3,4,4,4,4,3,4,4,4,3,4,4,3,4,4,4
177,2021/12/12 5:14:17 a. m. GMT,Educacion Universitaria Incompleta,21,Mujer,Soltero,Sí,6,No,900.000 a 1.190.000,Municipal,Científico humanista,Enseñanza media,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,0,1,0,1,1,0,1,1,1,0,1,0,2,2,2,1,2,2,2,1,0,2,5,5,5,3,1,5,5,5,5,3,5,3,5,5,5,3,5,3,5,2,3,4,1,1,5,2,2,2,2,2,2,2,3,2,3,3,1,3,2,1,2,1,3,3,4,2,3,3,5,3,3,4
178,2021/12/12 5:56:10 a. m. GMT,Education Técnico Profesional Completa,22,Hombre,Soltero,No,0,No,0 a 290.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,2,0,1,2,2,2,0,1,1,2,0,0,2,0,0,0,2,1,3,3,2,3,3,2,2,3,3,3,2,2,3,2,4,2,2,2,3,2,3,3,4,4,3,4,4,4,2,4,2,4,4,3,3,4,4,2,4,2,4,3,3,3,3,4,3,4,2,3,3,2,4
179,2021/12/12 5:59:48 a. m. GMT,Educación Media Completa,22,Hombre,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,1,2,1,2,1,2,2,2,1,1,1,0,0,0,0,1,1,1,0,0,2,4,3,3,2,2,3,4,2,3,1,3,2,3,4,1,3,2,4,4,4,5,4,4,4,4,5,5,4,3,4,3,3,4,3,3,4,3,3,3,3,4,4,5,2,4,5,5,4,5,4,4,4
180,2021/12/12 11:54:07 a. m. GMT,Educación Media Completa,22,Mujer,Soltero,No,0,No,Sobre los valores anteriores,Particular subvencionado,Científico humanista,Universitaria completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,2,1,1,2,2,0,0,1,1,2,0,0,2,0,0,2,1,2,2,5,5,3,4,3,4,4,2,5,1,2,5,5,3,1,1,1,5,5,3,4,5,5,5,4,5,5,5,2,3,3,5,5,3,4,4,5,4,3,5,5,5,4,5,4,5,2,4,4,4,4,5
181,2021/12/12 12:23:32 p. m. GMT,Educacion Universitaria Incompleta,21,Mujer,Soltero,No,0,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Universitaria completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,0,1,1,1,0,1,2,0,1,0,1,1,0,0,0,0,1,0,1,0,0,2,4,4,2,2,1,3,4,2,2,1,2,1,5,1,4,2,2,5,4,1,5,5,5,4,4,4,4,5,3,5,4,5,5,3,5,5,2,2,1,2,4,4,5,2,4,4,2,4,2,3,1,3
182,2021/12/12 1:55:16 p. m. GMT,Educación Media Completa,19,Mujer,Soltero,No,0,No,700.000 a 890.000,Particular subvencionado,Científico humanista,Enseñanza básica completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,0,1,1,1,1,2,0,1,1,1,0,0,0,0,0,0,1,0,0,1,2,4,4,2,3,2,5,5,4,5,2,2,3,4,4,4,3,2,4,3,2,3,2,3,4,4,2,3,3,2,2,3,3,3,3,3,5,4,3,4,3,3,3,4,4,4,2,3,4,2,3,3,3
183,2021/12/12 4:38:34 p. m. GMT,Educacion Universitaria Incompleta,19,Mujer,Soltero,No,0,No,0 a 290.000,Municipal,Científico humanista,Enseñanza básica completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,0,0,2,2,2,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,2,5,5,5,3,2,1,5,3,5,1,2,1,3,4,2,2,4,5,5,2,3,4,4,3,4,4,4,4,2,3,3,4,4,2,1,3,1,3,2,3,4,4,4,3,4,3,3,3,2,3,3,3
184,2021/12/12 10:07:13 p. m. GMT,Educación Media Completa,19,Mujer,Conviviente,Sí,45,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,Algún tipo de Trastorno del Desarrollo no especificado arriba.,0,2,0,1,2,2,2,2,2,2,1,2,1,2,2,0,2,2,2,2,2,2,5,5,5,3,1,5,5,4,5,1,5,4,5,5,5,3,5,5,5,4,3,2,3,1,4,1,3,1,4,4,4,5,5,2,5,4,2,2,2,2,2,3,5,3,4,2,3,5,4,4,4,5
185,2021/12/01 6:00:10 p. m. GMT,Educación Media Completa,21,Mujer,Casado,No,0,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,0,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,2,0,2,2,2,1,1,3,2,2,1,1,1,1,1,1,1,1,1,3,5,5,1,5,5,5,5,4,3,4,5,5,5,5,4,4,4,5,5,5,5,3,3,5,5,5,5,4,4,3,4,5,5,4,3
186,2021/12/02 3:17:19 a. m. GMT,Educacion Universitaria Incompleta,25,Mujer,Soltero,No,0,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,0,0,0,2,1,1,2,0,2,1,1,0,0,0,0,0,2,0,0,0,0,2,1,2,1,2,3,1,3,3,3,1,1,1,3,1,2,1,3,5,5,1,5,5,5,5,5,3,5,5,5,5,5,5,5,5,4,5,1,5,4,5,5,5,5,5,4,4,5,5,3,4,4,4
187,2021/12/02 10:25:07 p. m. GMT,Educación Media Completa,20,Hombre,Soltero,Sí,45,No,500.000 a 690.000,Municipal,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,2,0,1,1,0,0,1,1,2,1,1,1,0,1,2,2,1,2,2,0,2,4,3,4,4,3,2,4,3,3,3,4,2,5,4,3,2,5,2,3,3,4,3,5,3,4,3,5,2,4,3,4,2,4,3,2,1,5,4,3,4,2,4,3,2,4,2,2,3,4,4,2,3
188,2021/12/02 11:02:25 p. m. GMT,Educación Técnico Profesional Incompleta,20,Mujer,Soltero,No,0,Sí,0 a 290.000,Particular subvencionado,Científico humanista,Enseñanza básica completa,Enseñanza media,Prefiero no responder.,2,1,0,2,1,2,1,2,2,2,1,2,0,2,2,0,1,1,1,1,0,2,5,5,5,5,3,5,5,4,5,3,4,4,5,5,3,1,5,2,4,1,4,3,4,3,5,4,4,3,1,1,1,1,1,1,2,2,1,1,1,1,3,4,5,4,4,5,4,5,5,5,3,5
189,2021/12/03 2:51:08 a. m. GMT,Educacion Universitaria Incompleta,21,Mujer,Soltero,No,0,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Enseñanza media,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,2,2,1,2,0,1,1,1,1,2,0,0,1,1,1,1,1,0,2,5,5,4,5,3,5,5,1,5,4,4,5,5,5,4,3,5,4,2,2,3,5,2,3,5,3,4,4,1,1,1,3,1,1,2,2,2,2,1,2,2,2,4,3,4,3,4,4,3,4,3,5
190,2021/12/03 11:30:22 p. m. GMT,Educacion Universitaria Incompleta,24,Hombre,Soltero,No,0,No,700.000 a 890.000,Particular subvencionado,Científico humanista,Enseñanza básica completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,2,0,2,0,1,0,0,0,0,1,0,2,1,1,0,1,1,2,1,1,2,5,4,2,2,1,5,5,5,5,1,1,1,2,1,5,3,5,5,5,3,4,5,5,3,5,3,3,3,4,2,2,5,3,2,3,4,4,4,5,5,1,5,5,2,4,5,5,5,3,2,2,4
191,2021/12/05 6:08:00 p. m. GMT,Educacion Universitaria Incompleta,20,Mujer,Soltero,Sí,24,No,900.000 a 1.190.000,Municipal,Científico humanista,Enseñanza media,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,1,0,0,0,0,0,2,2,0,0,1,1,1,0,0,0,1,2,2,2,0,2,5,5,5,5,1,5,5,2,5,2,4,5,5,5,2,2,5,3,3,5,4,4,3,1,5,4,5,4,1,1,1,4,4,1,2,1,1,1,1,1,1,1,5,3,4,4,5,5,2,2,3,5
192,2021/12/05 6:23:03 p. m. GMT,Educación Media Completa,22,Hombre,Soltero,Sí,27,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Enseñanza media,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,0,0,1,0,0,1,1,1,2,0,1,0,0,0,1,0,1,2,2,5,4,4,3,2,4,3,2,4,2,3,3,3,2,3,3,2,4,4,1,4,4,4,4,4,4,4,4,2,2,2,4,4,3,4,4,4,4,3,4,4,3,5,3,4,4,4,4,3,4,4,4
193,2021/12/06 5:40:24 p. m. GMT,Educacion Universitaria Incompleta,20,Hombre,Soltero,No,0,No,500.000 a 690.000,Municipal,Científico humanista,Universitaria completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,0,2,1,2,0,2,1,0,1,1,2,2,1,2,1,0,0,2,2,2,2,5,5,3,4,2,4,3,2,4,1,2,5,4,4,2,2,5,4,5,1,3,2,4,4,2,4,4,4,2,2,2,2,4,2,2,4,4,5,3,5,5,5,5,5,4,4,5,5,4,5,3,4
194,2021/12/06 5:41:06 p. m. GMT,Educacion Universitaria Incompleta,21,Mujer,Soltero,No,0,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,1,2,2,2,2,2,2,2,2,1,2,0,2,0,2,2,0,0,0,0,2,5,5,1,5,1,5,5,5,5,1,3,5,5,1,1,1,5,5,5,1,2,5,5,5,5,5,5,5,5,5,1,2,1,1,5,1,5,5,1,4,1,5,5,4,4,1,3,5,5,5,3,5
195,2021/12/09 4:34:12 a. m. GMT,Educacion Universitaria Incompleta,24,Mujer,Soltero,Sí,8,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,0,1,0,0,0,2,2,1,0,1,0,1,1,0,0,2,0,2,0,0,2,5,5,5,5,1,3,4,2,3,1,4,4,5,4,1,1,2,5,5,2,5,5,5,5,4,5,5,5,2,2,3,4,4,1,1,2,2,1,1,1,2,3,4,3,4,2,4,4,2,4,4,5
196,2021/12/09 11:15:29 a. m. GMT,Educacion Universitaria Incompleta,24,Mujer,Soltero,No,0,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Enseñanza básica incompleta,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,2,2,2,2,2,2,2,2,1,2,0,1,0,0,0,0,0,2,2,2,5,5,4,1,1,5,4,1,3,1,1,1,3,1,1,1,1,5,5,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
197,2021/12/14 3:36:30 p. m. GMT,Educación Media Completa,24,Mujer,Soltero,Sí,45,No,300.000 a 490.000,Particular subvencionado,Técnico profesional,Enseñanza básica completa,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,2,1,1,1,1,1,1,2,2,0,0,0,0,1,0,2,0,2,2,1,1,2,2,1,1,1,1,1,4,2,1,2,2,2,1,5,5,3,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,5,4,4,2,5,4,5
198,2021/12/14 3:40:27 p. m. GMT,Educacion Universitaria Incompleta,24,Hombre,Soltero,No,0,No,Sobre los valores anteriores,Particular subvencionado,Científico humanista,Universitaria completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,2,0,1,0,0,2,1,1,1,1,1,0,0,0,0,1,0,0,2,3,3,2,2,2,2,3,4,3,2,2,2,4,4,2,2,2,4,4,1,4,3,2,4,4,2,4,2,2,4,4,4,4,2,4,4,4,4,1,2,3,2,4,2,4,2,2,3,4,4,2,2
199,2021/12/14 3:52:41 p. m. GMT,Educación Universitaria Completa,27,Mujer,Soltero,Sí,48,No,500.000 a 690.000,Particular subvencionado,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,0,1,0,1,1,1,2,1,1,2,0,2,1,2,1,1,2,1,2,2,5,5,4,5,3,4,4,4,4,2,4,5,4,3,4,4,5,4,3,4,5,3,4,4,5,4,4,4,3,3,3,3,4,3,4,4,5,5,5,4,3,4,5,4,4,2,4,4,3,4,4,5
200,2021/12/14 5:20:54 p. m. GMT,Educación Media Completa,18,Mujer,Soltero,No,0,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza media,Enseñanza básica incompleta,Prefiero no responder.,0,1,0,1,1,0,0,0,0,0,1,1,2,0,0,2,0,1,2,0,1,2,5,5,3,5,3,5,4,5,5,2,3,4,5,5,4,1,5,3,3,1,3,1,1,2,4,3,3,1,2,2,3,1,3,3,3,3,1,3,1,2,3,1,5,3,4,3,3,4,4,3,3,3
201,2021/12/14 6:30:46 p. m. GMT,Educación Media Completa,18,Mujer,Soltero,No,0,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,2,0,2,0,1,2,1,1,2,2,1,1,2,2,2,2,2,2,2,5,2,5,1,3,1,3,4,2,1,4,1,3,4,1,1,5,5,5,1,5,5,5,5,4,5,5,5,4,5,4,4,5,4,4,4,4,3,4,4,3,2,5,5,4,4,4,3,2,3,3,4
202,2021/12/14 6:32:36 p. m. GMT,Educacion Universitaria Incompleta,20,Hombre,Soltero,No,0,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza básica completa,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,2,3,2,3,2,2,3,3,2,2,2,4,4,2,2,3,2,4,4,4,2,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4
203,2021/12/14 6:42:21 p. m. GMT,Educacion Universitaria Incompleta,20,Mujer,Soltero,No,0,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Técnica educación superior completa,Algún tipo de Trastorno del Desarrollado no especificado arriba.,2,2,2,1,2,1,2,1,2,0,1,2,0,1,0,0,0,2,2,2,2,2,5,5,3,4,1,5,5,3,5,1,4,5,5,5,1,1,5,5,5,1,5,5,5,5,5,5,5,5,2,2,1,3,4,1,5,5,1,1,1,1,4,4,5,5,4,4,2,5,4,5,5,5
204,2021/12/14 6:46:05 p. m. GMT,Educación Técnico Profesional Incompleta,24,Mujer,Soltero,Sí,45,No,700.000 a 890.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,1,0,1,1,2,2,0,1,2,1,1,2,1,1,1,1,1,2,2,5,4,4,3,1,5,3,4,4,1,4,3,4,3,2,1,4,5,5,1,4,4,3,5,5,3,3,4,3,3,3,4,4,3,3,4,5,5,4,5,4,4,5,3,4,4,4,5,4,5,4,1
205,2021/12/14 6:54:48 p. m. GMT,Educacion Universitaria Incompleta,21,Hombre,Soltero,No,0,Sí,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,1,1,1,2,1,1,1,1,0,1,2,0,2,1,1,2,1,0,1,0,2,4,3,2,2,1,3,3,3,3,2,2,3,3,2,3,2,5,4,3,2,5,3,2,4,3,3,3,2,3,2,3,4,4,3,3,3,4,4,4,4,4,4,5,5,4,3,4,4,3,5,3,5
206,2021/12/14 6:58:26 p. m. GMT,Educación Media Completa,18,Mujer,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Científico humanista,Enseñanza media,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,2,2,2,2,2,2,0,1,2,0,1,2,1,1,2,2,1,0,2,3,3,4,3,1,5,3,5,3,1,3,4,4,4,1,2,3,2,4,2,5,5,3,3,5,5,5,4,3,3,2,4,4,2,3,3,3,2,2,3,2,4,5,5,4,3,3,5,4,4,3,5
207,2021/12/14 7:04:32 p. m. GMT,Educacion Universitaria Incompleta,20,Hombre,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Técnico profesional,Enseñanza básica completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,0,0,1,2,1,2,0,1,0,0,0,0,0,2,1,0,2,0,2,4,2,1,3,3,3,1,1,3,2,3,3,1,1,3,3,2,5,3,5,4,1,1,2,1,1,3,3,5,3,4,5,5,4,4,4,4,4,3,3,4,3,5,5,4,3,5,5,2,5,3,1
208,2021/12/14 7:10:42 p. m. GMT,Educacion Universitaria Incompleta,20,Mujer,Soltero,No,0,No,700.000 a 890.000,Municipal,Científico humanista,Enseñanza media,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,0,0,1,1,2,0,1,0,0,0,1,2,0,1,0,0,0,0,0,1,0,2,4,3,1,4,1,1,2,1,2,2,2,1,3,2,2,4,1,5,5,3,2,2,2,4,5,1,2,1,2,3,1,4,2,1,4,4,1,1,1,1,1,2,5,1,4,2,4,2,1,1,1,2
